match,half,offset,occupancy,occ_at_0,gain,z,n_frames,reason
117092,1st,0,0.504,0.504,0.0,4.38,60,
117092,2nd,27,0.4193,0.3819,0.0374,2.79,60,
117093,1st,25,0.287,0.2144,0.0726,3.3,60,
117093,2nd,0,0.2618,0.2618,0.0,3.81,60,
118575,1st,2,0.2906,0.2897,0.0009,4.1,60,
118575,2nd,1,0.3611,0.3608,0.0003,4.51,60,
118576,1st,27,0.3522,0.2888,0.0634,3.18,60,
118576,2nd,29,0.2231,0.1538,0.0693,3.05,60,
118577,1st,0,0.1828,0.1828,0.0,4.37,60,
118577,2nd,24,0.2267,0.1629,0.0638,2.96,60,
118578,1st,26,0.2434,0.1936,0.0499,2.91,60,
118578,2nd,1,0.2477,0.2476,0.0001,3.69,60,
128057,1st,25,0.2227,0.1406,0.0821,3.52,60,
128057,2nd,26,0.1916,0.0959,0.0957,3.92,60,
128058,1st,26,0.2128,0.1251,0.0877,3.57,60,
128058,2nd,24,0.1728,0.0856,0.0872,3.89,60,
132831,1st,1,0.6525,0.6518,0.0007,5.0,60,
132831,2nd,5,0.7683,0.7663,0.002,3.71,60,
132877,1st,16,0.1107,0.1071,0.0037,2.39,60,
132877,2nd,30,0.3324,0.3289,0.0034,2.05,60,
