seq,match,half,n_frames,label,hota,deta,assa,loca,off_hota,off_deta,off_assa,off_loca,ids,gt_ids
CLPD-117092-1st,117092,1st,750,30s,14.284744998156865,5.087223182615384,40.19133673899236,74.67504243322416,26.297858388059474,21.644362640326165,32.732368534015215,73.01622417186051,33,22
CLPD-117092-1st,117092,1st,1500,1min,10.702963244296967,4.404496329234113,26.1659255583463,72.8191044501691,18.576753753019485,19.22669211638918,18.187434293798184,72.65196582511248,43,22
CLPD-117092-1st,117092,1st,3000,2min,8.180625701676565,3.837840166590402,17.610434894522793,70.20617591961175,13.543243229799915,16.149837263251673,11.564878421877681,71.79448457207425,58,22
CLPD-117092-1st,117092,1st,7500,5min,8.602925087821172,4.09129850533306,18.185043109533687,72.16069566709024,12.53417031155668,15.686357999609701,10.120697622426334,72.09796960400256,70,22
CLPD-117092-1st,117092,1st,15000,10min,6.322566461027939,3.5762409303058496,11.277174515029687,71.72456661420253,9.75108158855043,15.861493654832106,6.069221848201903,72.22733951535743,77,22
CLPD-117092-1st,117092,1st,30000,20min,6.388967093294097,4.645649292421666,8.825259452232862,72.14644964135798,8.53034919807572,16.284274339585302,4.503334353603422,72.63160164976387,90,23
CLPD-117092-1st,117092,1st,67375,full,6.6797666891272325,4.289101511734237,10.497340912803713,71.77228850561653,8.457745652760202,15.892070674725241,4.546677889047404,72.44966115247561,127,23
CLPD-117092-2nd,117092,2nd,750,30s,9.900404490492779,1.6491739084423227,59.76009574032486,82.53228385174945,31.884691513764757,25.540645880476887,40.285370131536894,73.61281139329337,29,22
CLPD-117092-2nd,117092,2nd,1500,1min,7.082056583054805,1.8084860441739266,27.84510378744869,76.73452084305734,19.712199878118746,19.599508446731285,19.96889982936251,72.87413230279566,48,22
CLPD-117092-2nd,117092,2nd,3000,2min,5.475465332813633,1.3774007496704859,21.83519990949116,74.29104612636411,13.215471262590315,16.203202982857025,10.847856637370707,71.97453289695659,68,22
CLPD-117092-2nd,117092,2nd,7500,5min,5.773168497441854,1.3012413096973598,25.64732787535698,74.40884058323326,10.59989829673387,16.085217171807763,7.047964017519663,72.06475369007799,81,22
CLPD-117092-2nd,117092,2nd,15000,10min,3.916040730222391,0.8453193552252606,18.16315754667208,73.3777556102165,8.670712447599001,15.643684103758554,4.832428665507219,72.14400044743223,89,22
CLPD-117092-2nd,117092,2nd,30000,20min,4.143508094589829,0.9491934105304398,18.11053861728597,72.55150696875226,7.954709771256869,16.1149206865093,3.9460306048427074,72.46146455037777,108,28
CLPD-117092-2nd,117092,2nd,67549,full,3.5950487722071975,1.1511715786629217,11.254522317706543,72.05564034834815,7.440350701511761,17.009412464016535,3.2738402608269332,72.62640543490548,137,33
CLPD-117093-1st,117093,1st,750,30s,29.145905912908894,12.202966457306532,69.74976004705965,84.75486211280709,64.50117975725273,59.98066995611793,70.01564966764826,85.98040476321002,29,22
CLPD-117093-1st,117093,1st,1500,1min,21.01798687698675,10.291055558033042,42.996762228541066,81.66158527385386,39.6184197802596,42.79884864405707,37.11508082196675,82.11461496481263,50,22
CLPD-117093-1st,117093,1st,3000,2min,17.240279464738673,10.536013542697482,28.257030285302946,82.55070706356696,32.073070250051586,43.14531583125045,24.191151052492632,81.70648532199539,56,22
CLPD-117093-1st,117093,1st,7500,5min,17.4426152420401,10.225035827577628,29.771991039861827,82.96127321411679,32.23499702532139,47.75299257731477,21.972507616726098,82.39005725688556,67,22
CLPD-117093-1st,117093,1st,15000,10min,16.874717010823822,10.56236338689919,27.01235519051961,83.11444877200223,29.459232403326247,45.496505830358366,19.49391497766437,82.01287882743455,78,22
CLPD-117093-1st,117093,1st,30000,20min,17.00921341402427,10.895106880433927,26.615604722980034,83.16270916343473,25.930362392396837,44.604640406560875,15.368035866516887,82.12621170234273,92,22
CLPD-117093-1st,117093,1st,67625,full,14.283967022336128,10.039621590752649,20.36587023306807,83.02444808709026,22.136706683046576,45.978383676821785,10.841451032207884,82.27968656352799,146,23
CLPD-117093-2nd,117093,2nd,750,30s,25.452652262348714,9.301670258876289,69.74413924568569,84.5387465395222,49.158096486964986,41.68940231541012,58.542885103496154,82.76152593153037,36,22
CLPD-117093-2nd,117093,2nd,1500,1min,25.326241171041914,8.77614175530059,73.1579017184388,86.90899166707196,52.22382614886002,48.05327988243288,57.1323754551409,83.79222367603936,43,22
CLPD-117093-2nd,117093,2nd,3000,2min,23.466513675911667,8.463894465023596,65.09398918570713,86.49180438385609,48.282708904957,49.526419273461094,47.47484152026173,83.29423719648858,57,22
